feature,mean_phiusiil,mean_malicious_urls,smd,abs_smd
colon_count,1.0115399920413848,0.2836982761371008,1.9280189662359353,1.9280189662359353
has_https,0.48632113012335854,0.07396339582912381,1.0336291344145565,1.0336291344145565
has_http,0.5136788698766415,0.9260153350419533,-1.0335463989938487,1.0335463989938487
special_char_ratio,0.18921177695708996,0.14574950194064698,0.8908319361236489,0.8908319361236489
path_depth,0.5869578193394349,1.7470143460274585,-0.7778898981752091,0.7778898981752091
letter_ratio,0.7472795898090309,0.8071188421807555,-0.6135261913667915,0.6135261913667915
is_common_tld,0.5113410266613609,0.7715057479820914,-0.5636076411912139,0.5636076411912139
subdomain_length,10.684182252288101,5.013080514287537,0.5167117679096341,0.5167117679096341
hostname_entropy,3.5993082416540583,3.3910013585834795,0.4981408121360535,0.4981408121360535
hostname_length,24.440638678869878,19.300320100390287,0.45929724858579596,0.45929724858579596
path_length,8.708396339037007,18.744579030765795,-0.33398959107830295,0.33398959107830295
is_org_tld,0.02256267409470752,0.1003583848223496,-0.32824703687288886,0.32824703687288886
subdomain_count,1.1228710704337446,0.8853274914125892,0.2539176460221535,0.2539176460221535
url_entropy,4.105086302826391,4.010583199267826,0.2214840690511822,0.2214840690511822
tld_length,2.9327298050139277,3.1166930758350793,-0.19920138113236083,0.19920138113236083
hostname_dot_count,2.1692300039793078,1.9860155477332426,0.18825077737288717,0.18825077737288717
is_com_tld,0.4338241146040589,0.52499654376655,-0.18326328911773995,0.18326328911773995
digit_ratio,0.06350863323387905,0.04711942014328008,0.18047855656454803,0.18047855656454803
slash_count,3.016494230003979,2.6605659715206365,0.1790078242450763,0.1790078242450763
brand_keyword_count,0.07298050139275766,0.12088309423287569,-0.1579293234454821,0.1579293234454821
has_paypal_keyword,0.0008654994031038599,0.014207778120447077,-0.15473105074201246,0.15473105074201246
suspicious_keyword_count,0.14283724631914047,0.2196250252570906,-0.14465235792365438,0.14465235792365438
special_char_count,7.6492339832869085,6.6921293588421085,0.14351921537363124,0.14351921537363124
has_apple_keyword,0.0017409470752089136,0.014197143555985664,-0.14043827006001425,0.14043827006001425
registered_domain_length,12.911301233585355,13.604872757436219,-0.13418069526967646,0.13418069526967646
is_net_tld,0.03062077198567449,0.05794774175023662,-0.13312515957983784,0.13312515957983784
hyphen_count,0.7056804615996817,0.4713132623653398,0.12903984504109556,0.12903984504109556
has_url_shortener_domain,0.03386390768006367,0.060287345931747366,-0.12499895249385372,0.12499895249385372
underscore_count,0.08178471945881417,0.15807216615443515,-0.10053994929114053,0.10053994929114053
domain_length,8.984600079586151,9.492571756723704,-0.10052294270830586,0.10052294270830586
max_token_length,15.264037007560685,13.34415577510023,0.09668594978347471,0.09668594978347471
has_account_keyword,0.01062475129327497,0.02277923707634554,-0.09495032723887178,0.09495032723887178
question_count,0.06901114206128134,0.09759339806238236,-0.09162870475761618,0.09162870475761618
has_verify_keyword,0.0031337047353760445,0.010336796656492933,-0.08815130125666379,0.08815130125666379
token_count,6.1720553123756465,6.673635851243712,-0.08357680484024396,0.08357680484024396
at_count,0.017170712296060486,0.007699424670062637,0.0745411933180662,0.0745411933180662
has_at_symbol,0.01498209311579785,0.007295311220528964,0.07329068382021854,0.07329068382021854
has_login_keyword,0.03415240748109829,0.048663766975423524,-0.07288439939510596,0.07288439939510596
dot_count,2.384888579387187,2.485265810938713,-0.07176400088578505,0.07176400088578505
has_secure_keyword,0.005551134102666136,0.01212340348601023,-0.0702666830411373,0.0702666830411373
has_digit_in_domain,0.08979307600477517,0.07114523624684951,0.0685936169872863,0.0685936169872863
is_www,0.41502188619180264,0.38758733636063936,0.05599196415102063,0.05599196415102063
has_update_keyword,0.008356545961002786,0.013739857284144927,-0.05151787268838979,0.05151787268838979
has_percent_encoding,0.008784321528054119,0.01409079791137154,-0.04991952950772503,0.04991952950772503
avg_token_length,6.035319262974087,5.914852626973707,0.047146738645156866,0.047146738645156866
has_amazon_keyword,0.005222841225626741,0.002445949826124871,0.04494196763187798,0.04494196763187798
has_double_slash_in_path,0.004158376442499005,0.001765337700594472,0.04404685335744554,0.04404685335744554
has_microsoft_keyword,0.002626343016315161,0.005402358746397541,-0.04391269741887216,0.04391269741887216
digit_count,4.336291285316355,3.6784214052513478,0.04329328963475597,0.04329328963475597
has_bank_keyword,0.007839235972940709,0.011815001116629269,-0.04031234521344116,0.04031234521344116
has_ip_address,0.006028651014723438,0.0035200408367275318,0.03639863970860403,0.03639863970860403
query_param_count,0.1426382809391166,0.1710569693618198,-0.035046777458685244,0.035046777458685244
letter_count,34.23591325109431,35.47994852870801,-0.033620237811897456,0.033620237811897456
equal_count,0.14841822522881018,0.18541363138472663,-0.03185637296660608,0.03185637296660608
has_hyphen_in_domain,0.09305610823716673,0.10013505896865994,-0.023965036166079978,0.023965036166079978
has_port,0.0002586549940310386,0.0007975923346059362,-0.02345917706395191,0.02345917706395191
semicolon_count,0.05191006764822921,0.06644475875490519,-0.022701868944697563,0.022701868944697563
has_punycode,0.001532033426183844,0.000882668850297236,0.018700399981263858,0.018700399981263858
is_pl_tld,0.005998806207719857,0.004955707039018217,0.014133356412601552,0.014133356412601552
query_length,5.1892160764027055,5.65592930141546,-0.013762092486512919,0.013762092486512919
fragment_length,0.3189614007162754,0.08047174927950826,0.012586590206528254,0.012586590206528254
url_length,46.22143851969757,45.851562749247606,0.00695419625845446,0.00695419625845446
ampersand_count,0.08469956227616394,0.08930907234694203,-0.0068308459100719175,0.0068308459100719175
percent_count,0.058724631914046956,0.05849010453776866,0.00022339664198637102,0.00022339664198637102
